HS_ENSG,Gene/Locus MIM number,Phenotype and Phenotype MIM number
ENSG00000111276,600778,"Multiple endocrine neoplasia, type IV, 610755"
ENSG00000149541,606374,"Multiple joint dislocations, short stature, craniofacial dysmorphism, with or without congenital heart d"
ENSG00000169599,608100,"Multiple mitochondrial dysfunctions syndrome 1, 605711"
ENSG00000163170,613183,"Multiple mitochondrial dysfunctions syndrome 2 with hyperglycinemia, 614299"
ENSG00000181873,615316,"Multiple mitochondrial dysfunctions syndrome 3, 615330 | Spastic paraplegia 74, autosomal recessive, 616451"
ENSG00000165898,615317,"Multiple mitochondrial dysfunctions syndrome 4, 616370"
ENSG00000135070,611006,"Multiple mitochondrial dysfunctions syndrome 5, 617613"
ENSG00000138435,100690,"Multiple pterygium syndrome, lethal type, 253290 | Myasthenic syndrome, congenital, 1A, slow-channel, 601462 | Myasthenic syndrome, congenital, 1B, fast-channel, 608930"
ENSG00000188389,600244,"Multiple sclerosis, disease progression, modifier of, 126200 | Systemic lupus erythematosus, susceptibility to, 2, 605218"
ENSG00000196126,142857,"Multiple sclerosis, susceptibility to, 1, 126200 | Sarcoidosis, susceptibility to, 1, 181000"
ENSG00000144455,607939,"Multiple sulfatase deficiency, 272200"
ENSG00000102678,600921,"Multiple synostoses syndrome 3, 612961"
ENSG00000067177,311870,"Muscle glycogenosis, 300559"
ENSG00000138379,601788,"Muscle hypertrophy, 614160"
ENSG00000162885,610194,"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies, type A, 11, 615181"
ENSG00000144647,614828,"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies, type A, 8, 614830"
ENSG00000130714,607423,"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 1, 236670 | Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type B, 1, 613155 | Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 1, 609308"
ENSG00000118600,605862,"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 10, 615041"
ENSG00000174684,605517,"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 13, 615287"
ENSG00000173540,615320,"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 14, 615350 | Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type B, 14, 615351 | Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 14, 615352"
ENSG00000009830,607439,"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 2, 613150 | Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type B, 2, 613156 | Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 2, 613158"
ENSG00000085998,606822,"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 3, 253280 | Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type B, 3, 613151 | Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 3, 613157 | Retinitis pigmentosa 76, 617123"
ENSG00000181027,606596,"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 5, 613153 | Muscular dystrophy-dystroglycanopathy (congenital with or without mental retardation), type B, 5, 606612 | Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 5, 607155"
ENSG00000133424,603590,"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 6, 613154 | Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type B, 6, 608840"
ENSG00000214960,614631,"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 7, 614643 | Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 7, 616052"
ENSG00000173402,128239,"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 9, 616538 | Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 9, 613818"
ENSG00000185900,615247,"Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 12, 616094 | Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 12, 615249"
ENSG00000196569,156225,"Muscular dystrophy, congenital merosin-deficient, 607855 | Muscular dystrophy, congenital, due to partial LAMA2 deficiency, 607855"
ENSG00000103671,604501,"Muscular dystrophy, congenital, Davignon-Chauveau type, 617066 | Spinal muscular atrophy with congenital bone fractures 1, 616866"
ENSG00000135424,600536,"Muscular dystrophy, congenital, due to ITGA7 deficiency, 613204"
ENSG00000100288,612395,"Muscular dystrophy, congenital, megaconial type, 602541"
ENSG00000132376,607875,"Muscular dystrophy, congenital, with cataracts and intellectual disability, 617404"
ENSG00000120729,604103,"Muscular dystrophy, limb-girdle, type 1A, 159000 | Myopathy, myofibrillar, 3, 609200 | Myopathy, spheroid body, 182920"
ENSG00000105993,611332,"Muscular dystrophy, limb-girdle, type 1E, 603511"
ENSG00000064419,610032,"Muscular dystrophy, limb-girdle, type 1F, 608423"
ENSG00000152795,607137,"Muscular dystrophy, limb-girdle, type 1G, 609115"
ENSG00000092529,114240,"Muscular dystrophy, limb-girdle, type 2A, 253600"
ENSG00000102683,608896,"Muscular dystrophy, limb-girdle, type 2C, 253700"
ENSG00000108823,600119,"Muscular dystrophy, limb-girdle, type 2D, 608099"
ENSG00000163069,600900,"Muscular dystrophy, limb-girdle, type 2E, 604286"
ENSG00000175084,125660,"Muscular dystrophy, limb-girdle, type 2R, 615325 | Cardiomyopathy, dilated, 1I, 604765 | Myopathy, myofibrillar, 1, 601419 | Scapuloperoneal syndrome, neurogenic, Kaeser type, 181400"
ENSG00000168538,614138,"Muscular dystrophy, limb-girdle, type 2S, 615356"
ENSG00000072163,607908,"Muscular dystrophy, limb-girdle, type 2W, 616827"
ENSG00000112276,604577,"Muscular dystrophy, limb-girdle, type 2X, 616812"
ENSG00000143337,614512,"Muscular dystrophy, limb-girdle, type 2Y, 617072"
ENSG00000163389,615618,"Muscular dystrophy, limb-girdle, type 2Z, 617232 | Dowling-Degos disease 4, 615696"
ENSG00000162430,606210,"Muscular dystrophy, rigid spine, 1, 602771 | Myopathy, congenital, with fiber-type disproportion, 255310"
ENSG00000198380,138292,"Myasthenia, congenital, 12, with tubular aggregates, 610542"
ENSG00000172339,612866,"Myasthenic syndrome, congenital, 15, without tubular aggregates, 616227"
ENSG00000134569,604270,"Myasthenic syndrome, congenital, 17, 616304 | Cenani-Lenz syndactyly syndrome, 212780 | Sclerosteosis 2, 614305"
ENSG00000132639,600322,"Myasthenic syndrome, congenital, 18, 616330"
ENSG00000197467,120350,"Myasthenic syndrome, congenital, 19, 616720"
ENSG00000115665,608761,"Myasthenic syndrome, congenital, 20, presynaptic, 617143 | Neuronopathy, distal hereditary motor, type VIIA, 158580"
ENSG00000187714,600336,"Myasthenic syndrome, congenital, 21, presynaptic, 617239"
ENSG00000138078,609557,"Myasthenic syndrome, congenital, 22, 616224"
ENSG00000170175,100710,"Myasthenic syndrome, congenital, 2C, associated with acetylcholine receptor deficiency, 616314 | Myasthenic syndrome, congenital, 2A, slow-channel, 616313"
ENSG00000135902,100720,"Myasthenic syndrome, congenital, 3A, slow-channel, 616321 | Myasthenic syndrome, congenital, 3C, associated with acetylcholine receptor deficiency, 616323 | Multiple pterygium syndrome, lethal type, 253290 | Myasthenic syndrome, congenital, 3B, fast-channel, 616322"
ENSG00000108556,100725,"Myasthenic syndrome, congenital, 4A, slow-channel, 605809 | Myasthenic syndrome, congenital, 4B, fast-channel, 616324 | Myasthenic syndrome, congenital, 4C, associated with acetylcholine receptor deficiency, 608931"
ENSG00000206561,603033,"Myasthenic syndrome, congenital, 5, 603034"
ENSG00000070748,118490,"Myasthenic syndrome, congenital, 6, presynaptic, 254210"
ENSG00000143858,600104,"Myasthenic syndrome, congenital, 7, presynaptic, 616040"
ENSG00000188157,103320,"Myasthenic syndrome, congenital, 8, with pre- and postsynaptic defects, 615120"
ENSG00000124089,155540,"Mycobacterium tuberculosis, protection against, 607948 | Obesity, severe, susceptibility to, BMIQ9, 602025"
ENSG00000164398,604443,"Myelodysplastic syndrome | Myelogenous leukemia, acute"
ENSG00000115524,605590,"Myelodysplastic syndrome, somatic, 614286"
ENSG00000168769,612839,"Myelodysplastic syndrome, somatic, 614286"
ENSG00000117400,159530,"Myelofibrosis with myeloid metaplasia, somatic, 254450 | Thrombocythemia 2, 601977 | Thrombocytopenia, congenital amegakaryocytic, 604498"
ENSG00000179218,109091,"Myelofibrosis, somatic, 254450 | Thrombocythemia, somatic, 187950"
ENSG00000067955,121360,"Myeloid leukemia, acute, M4/M4Eo subtype, somatic, 601626"
ENSG00000121966,162643,"Myelokathexis, isolated | WHIM syndrome, 193670"
ENSG00000005381,606989,"Myeloperoxidase deficiency, 254600 | Alzheimer disease, susceptibility to, 104300 | Lung cancer, protection against, in smokers"
ENSG00000213066,605392,Myeloproliferative disorder
ENSG00000183258,608170,"Myeloproliferative/lymphoproliferative neoplasms, familial (multiple types), susceptibility to, 616871"
ENSG00000100079,150571,"Myocardial infarction, susceptibility to, 608446"
ENSG00000023909,601176,"Myocardial infarction, susceptibility to, 608446"
ENSG00000157193,602600,"Myocardial infarction, susceptibility to, 608446"
ENSG00000173391,602601,"Myocardial infarction, susceptibility to, 608446"
ENSG00000100902,602855,"Myocardial infarction, susceptibility to, 608446"
ENSG00000117586,603594,"Myocardial infarction, susceptibility to, 608446"
ENSG00000225783,611082,"Myocardial infarction, susceptibility to, 608446"
ENSG00000157103,137165,"Myoclonic-atonic epilepsy, 616421"
ENSG00000140939,605235,"Myoclonus, familial cortical, 614937"
ENSG00000155980,602821,"Myoclonus, intractable, neonatal, 617235 | Spastic paraplegia 10, autosomal dominant, 604187"
ENSG00000074181,600276,"Myofibromatosis, infantile 2, 615293 | Cerebral arteriopathy with subcortical infarcts and leukoencephalopathy 1, 125310 | Lateral meningocele syndrome, 130720"
ENSG00000134324,605518,"Myoglobinuria, acute recurrent, autosomal recessive, 268200"
ENSG00000116748,102770,"Myopathy due to myoadenylate deaminase deficiency, 615511"
ENSG00000107745,605084,"Myopathy with extrapyramidal signs, 615673"
ENSG00000136003,611911,"Myopathy with lactic acidosis, hereditary, 255125"
ENSG00000145794,612453,"Myopathy, areflexia, respiratory distress, and dysphagia, early-onset, 614399 | Myopathy, areflexia, respiratory distress, and dysphagia, early-onset, mild variant, 614399"
ENSG00000018236,600016,"Myopathy, congenital, Compton-North, 612540"
ENSG00000160460,606214,"Myopathy, congenital, with neuropathy and deafness, 617519"
ENSG00000185100,612498,"Myopathy, distal, 5, 617030"
ENSG00000250479,615903,"Myopathy, isolated mitochondrial, autosomal dominant, 616209 | Frontotemporal dementia and/or amyotrophic lateral sclerosis 2, 615911 | Spinal muscular atrophy, Jokela type, 615048"
ENSG00000177192,608109,"Myopathy, lactic acidosis, and sideroblastic anemia 1, 600462"
ENSG00000139131,610957,"Myopathy, lactic acidosis, and sideroblastic anemia 2, 613561"
ENSG00000127554,600924,"Myopathy, mitochondrial progressive, with congenital cataract, hearing loss, and developmental delay, 61"
ENSG00000125459,617619,"Myopathy, mitochondrial, and ataxia, 617675"
ENSG00000174611,605739,"Myopathy, myofibrillar, 7, 617114"
ENSG00000121350,617220,"Myopathy, myofibrillar, 8, 617258"
ENSG00000143632,102610,"Myopathy, scapulohumeroperoneal, 616852 | Myopathy, actin, congenital, with cores, 161800 | Myopathy, actin, congenital, with excess of thin myofilaments, 161800 | Myopathy, congenital, with fiber-type disproportion 1, 255310 | Nemaline myopathy 3, autosomal dominant or recessive, 161800"
ENSG00000143318,114250,"Myopathy, vacuolar, with CASQ1 aggregates, 616231"
ENSG00000160131,300913,"Myopathy, X-linked, with excessive autophagy, 310440"
ENSG00000122482,614159,"Myopia 21, autosomal dominant, 614167"
ENSG00000164306,615421,"Myopia 22, autosomal dominant, 615420"
ENSG00000163956,104225,"Myopia 23, autosomal recessive, 615431"
ENSG00000139540,608730,"Myopia 24, autosomal dominant, 615946"
ENSG00000072682,600608,"Myopia 25, autosomal dominant, 617238"
ENSG00000120500,301770,"Myopia 26, X-linked, female-limited, 301010"
ENSG00000090530,610341,"Myopia, high, with cataract and vitreoretinal degeneration, 614292"
ENSG00000142173,120240,"Myosclerosis, congenital, 255600 | Bethlem myopathy 1, 158810 | Ullrich congenital muscular dystrophy 1, 254090"
ENSG00000188037,118425,"Myotonia congenita, dominant, 160800 | Myotonia congenita, recessive, 255700 | Myotonia levior, recessive"
ENSG00000104936,605377,"Myotonic dystrophy 1, 160900"
ENSG00000169714,116955,"Myotonic dystrophy 2, 602668"
ENSG00000171100,300415,"Myotubular myopathy, X-linked, 310400"
ENSG00000175197,126337,"Myxoid liposarcoma, 613488"
ENSG00000185818,610647,"N-acetylaspartate deficiency, 614063"
ENSG00000161653,608300,"N-acetylglutamate synthase deficiency, 237310"
ENSG00000164930,603409,"Nail disorder, nonsyndromic congenital, 10, (claw-shaped nails), 614157"
ENSG00000187091,602142,"Nail disorder, nonsyndromic congenital, 3, (leukonychia), 151600"
ENSG00000136944,602575,"Nail-patella syndrome, 161200"
ENSG00000006042,615949,"Nanophthalmos 4, 615972"
ENSG00000161610,602358,"Narcolepsy 1, 161400"
ENSG00000204655,159465,"Narcolepsy 7, 614250"
ENSG00000164078,600168,"Nasopharyngeal carcinoma, susceptibility to, 3, 617075"
ENSG00000011600,604142,"Nasu-Hakola disease, 221770"
ENSG00000095970,605086,"Nasu-Hakola disease, 221770"
ENSG00000185482,615521,"Native American myopathy, 255995"
ENSG00000104738,602638,"Natural killer cell and glucocorticoid deficiency with DNA repair defect, 609981"
ENSG00000163380,616112,"Nemaline myopathy 10, 616165"
ENSG00000183091,161650,"Nemaline myopathy 2, autosomal recessive, 256030"
ENSG00000105048,191041,"Nemaline myopathy 5, Amish type, 605355"
ENSG00000234438,613727,"Nemaline myopathy 6, autosomal dominant, 609273"
ENSG00000165410,601443,"Nemaline myopathy 7, autosomal recessive, 610687"
ENSG00000157119,615340,"Nemaline myopathy 8, autosomal recessive, 615348"
ENSG00000239474,607701,"Nemaline myopathy 9, 615731"
ENSG00000145217,610130,"Nephrolithiasis, calcium oxalate, 167030"
ENSG00000138311,607818,"Nephrolithiasis, uric acid, susceptibility to, 605990"
ENSG00000109062,604990,"Nephrolithiasis/osteoporosis, hypophosphatemic, 2, 612287"
ENSG00000123607,612014,"Nephronophthisis 12, 613820 | Short-rib thoracic dysplasia 4 with or without polydactyly, 613819"
ENSG00000110274,614848,"Nephronophthisis 15, 614845"
ENSG00000165138,615370,"Nephronophthisis 16, 615382"
ENSG00000173588,615847,"Nephronophthisis 18, 615862"
ENSG00000119509,243305,"Nephronophthisis 2, infantile, 602088"
ENSG00000137802,616786,"Nephronophthisis 20, 617271"
ENSG00000131697,607215,"Nephronophthisis 4, 606966 | Senior-Loken syndrome 4, 606996"
ENSG00000126603,608539,"Nephronophthisis 7, 611498"
ENSG00000160602,609799,"Nephronophthisis 9, 613824 | Renal-hepatic-pancreatic dysplasia 2, 615415"
ENSG00000196236,613553,"Nephronophthisis-like nephropathy 1, 613159"
ENSG00000134389,608593,"Nephropathy due to CFHR5 deficiency, 614809"
ENSG00000177697,602243,"Nephropathy with pretibial epidermolysis bullosa and deafness, 609057 | Blood group, Raph, 179620"
ENSG00000166224,603729,"Nephrotic syndrome 14, 617575"
ENSG00000187391,606382,"Nephrotic syndrome 15, 617609"
ENSG00000197256,614610,"Nephrotic syndrome 16, 617783 | Palmoplantar keratoderma and woolly hair, 616099"
ENSG00000161270,602716,"Nephrotic syndrome, type 1, 256300"
ENSG00000213853,602334,"Nephrotic syndrome, type 10, 615861"
ENSG00000111581,607617,"Nephrotic syndrome, type 11, 616730"
ENSG00000102900,614351,"Nephrotic syndrome, type 12, 616892"
ENSG00000155561,614352,"Nephrotic syndrome, type 13, 616893"
ENSG00000116218,604766,"Nephrotic syndrome, type 2, 600995"
ENSG00000138193,608414,"Nephrotic syndrome, type 3, 610725"
ENSG00000172037,150325,"Nephrotic syndrome, type 5, with or without ocular abnormalities, 614199 | Pierson syndrome, 609049"
ENSG00000151490,600579,"Nephrotic syndrome, type 6, 614196"
ENSG00000153933,601440,"Nephrotic syndrome, type 7, 615008 | Hemolytic uremic syndrome, atypical, susceptibility to, 7, 615008"
ENSG00000141522,601925,"Nephrotic syndrome, type 8, 615244"
ENSG00000123815,615567,"Nephrotic syndrome, type 9, 615573"
ENSG00000175334,603811,"Nestor-Guillermo progeria syndrome, 614008"
ENSG00000133710,605010,"Netherton syndrome, 256500"
ENSG00000092621,606879,"Neu-Laxova syndrome 1, 256520 | Phosphoglycerate dehydrogenase deficiency, 601815"
ENSG00000162738,600533,"Neural tube defects, 182940"
ENSG00000010361,610622,"Neural tube defects, 182940"
ENSG00000078900,601990,Neuroblastoma
ENSG00000239672,156490,"Neuroblastoma, 256700"
ENSG00000171094,105590,"Neuroblastoma, susceptibility to, 3, 613014"
ENSG00000110195,136430,"Neurodegeneration due to cerebral folate transport deficiency, 613068"
ENSG00000196998,300526,"Neurodegeneration with brain iron accumulation 5, 300894"
ENSG00000068120,609855,"Neurodegeneration with brain iron accumulation 6, 615643"
ENSG00000108312,600673,"Neurodegeneration, childhood-onset, with brain atrophy, 617672"
ENSG00000185236,604198,"Neurodevelopmental disorder with ataxic gait, absent speech, and decreased cortical white matter, 617807"
ENSG00000171634,601819,"Neurodevelopmental disorder with dysmorphic facies and distal limb anomalies, 617755"
ENSG00000160877,610672,"Neurodevelopmental disorder with epilepsy, cataracts, feeding difficulties, and delayed brain myelinatio"
ENSG00000138411,617245,"Neurodevelopmental disorder with hypotonia, seizures, and absent language, 617268"
ENSG00000031698,607529,"Neurodevelopmental disorder with microcephaly, ataxia, and seizures, 617709"
ENSG00000143363,617413,"Neurodevelopmental disorder with microcephaly, hypotonia, and variable brain anomalies, 617481"
ENSG00000204394,192150,"Neurodevelopmental disorder with microcephaly, seizures, and cortical atrophy, 617802"
ENSG00000116584,607560,"Neurodevelopmental disorder with midbrain and hindbrain malformations, 617523"
ENSG00000142599,605226,"Neurodevelopmental disorder with or without anomalies of the brain, eye, or heart, 616975"
ENSG00000137055,603873,"Neurodevelopmental disorder with progressive microcephaly, spasticity, and brain anomalies, 617527"
ENSG00000132153,616423,"Neurodevelopmental disorder with severe motor impairment and absent language, 617804"
ENSG00000116874,604733,"Neurodevelopmental disorder, mitochondrial, with abnormal movements and lactic acidosis, with or without"
ENSG00000119950,600020,"Neurofibrosarcoma | Prostate cancer, susceptibility to, 176807"
ENSG00000169567,601314,"Neuromyotonia and axonal neuropathy, autosomal recessive, 137200"
ENSG00000169271,604624,"Neuronopathy, distal hereditary motor, type IIC, 613376"
ENSG00000145868,608533,"Neuronopathy, distal hereditary motor, type IID, 615575"
ENSG00000140105,191050,"Neuronopathy, distal hereditary motor, type IX, 617721"
ENSG00000068615,609139,"Neuronopathy, distal hereditary motor, type VB, 614751 | Spastic paraplegia 31, autosomal dominant, 610250"
ENSG00000204843,601143,"Neuropathy, distal hereditary motor, type VIIB, 607641 | Perry syndrome, 168605 | Amyotrophic lateral sclerosis, susceptibility to, 105400"
ENSG00000164209,610826,"Neuropathy, hereditary motor and sensory, type VIB, 616505"
ENSG00000090054,605712,"Neuropathy, hereditary sensory and autonomic, type IA, 162400"
ENSG00000100596,605713,"Neuropathy, hereditary sensory and autonomic, type IC, 613640"
ENSG00000060237,605232,"Neuropathy, hereditary sensory and autonomic, type II, 201300 | Pseudohypoaldosteronism, type IIC, 614492"
ENSG00000154153,613114,"Neuropathy, hereditary sensory and autonomic, type IIB, 613115"
ENSG00000134259,162030,"Neuropathy, hereditary sensory and autonomic, type V, 608654"
ENSG00000151914,113810,"Neuropathy, hereditary sensory and autonomic, type VI, 614653 | Epidermolysis bullosa simplex, autosomal recessive 2, 615425"
ENSG00000130711,616458,"Neuropathy, hereditary sensory and autonomic, type VIII, 616488"
ENSG00000198513,606439,"Neuropathy, hereditary sensory, type ID, 613708 | Spastic paraplegia 3A, autosomal dominant, 182600"
ENSG00000184743,609369,"Neuropathy, hereditary sensory, type IF, 615632"
ENSG00000150753,610150,"Neuropathy, hereditary sensory, with spastic paraplegia, 256840"
ENSG00000109099,601097,"Neuropathy, inflammatory demyelinating, 139393 | Charcot-Marie-Tooth disease, type 1A, 118220 | Charcot-Marie-Tooth disease, type 1E, 118300 | Dejerine-Sottas disease, 145900 | Neuropathy, recurrent, with pressure palsies, 162500 | Roussy-Levy syndrome, 180800"
ENSG00000162374,168360,"Neuropathy, paraneoplastic sensory"
ENSG00000177666,609059,"Neutral lipid storage disease with myopathy, 610717"
ENSG00000162747,610665,"Neutropenia, alloimmune neonatal"
ENSG00000197561,130130,"Neutropenia, cyclic, 162800 | Neutropenia, severe congenital 1, autosomal dominant, 202700"
ENSG00000162676,600871,"Neutropenia, nonimmune chronic idiopathic, of adults, 607847 | Neutropenia, severe congenital 2, autosomal dominant, 613107"
ENSG00000143575,605998,"Neutropenia, severe congenital 3, autosomal recessive, 610738"
ENSG00000136631,610035,"Neutropenia, severe congenital, 5, autosomal recessive, 615285"
ENSG00000171135,616012,"Neutropenia, severe congenital, 6, autosomal recessive, 616022"
ENSG00000119535,138971,"Neutropenia, severe congenital, 7, autosomal recessive, 617014"
ENSG00000015285,300392,"Neutropenia, severe congenital, X-linked, 300299 | Thrombocytopenia, X-linked, 313900 | Thrombocytopenia, X-linked, intermittent, 313900 | Wiskott-Aldrich syndrome, 301000"
ENSG00000128340,602049,"Neutrophil immunodeficiency syndrome, 608203"
ENSG00000080503,600014,"Nicolaides-Baraitser syndrome, 601358"
ENSG00000136928,607340,"Nicotine dependence, protection against, 188890 | Nicotine dependence, susceptibility to, 188890"
ENSG00000166311,607608,"Niemann-Pick disease, type A, 257200 | Niemann-Pick disease, type B, 607616"
ENSG00000141458,607623,"Niemann-Pick disease, type C1, 257220 | Niemann-Pick disease, type D, 257220"
ENSG00000119655,601015,"Niemann-pick disease, type C2, 607625"
ENSG00000188937,300278,"Night blindness, congenital stationary (complete), 1A, X-linked, 310500"
ENSG00000113262,604096,"Night blindness, congenital stationary (complete), 1B, autosomal recessive, 257270"
ENSG00000134160,603576,"Night blindness, congenital stationary (complete), 1C, autosomal recessive, 613216"
ENSG00000074621,603617,"Night blindness, congenital stationary (complete), 1D, autosomal recessive, 613830"
ENSG00000277399,614515,"Night blindness, congenital stationary (complete), 1E, autosomal recessive, 614565"
ENSG00000183423,615004,"Night blindness, congenital stationary (complete), 1F, autosomal recessive, 615058"
ENSG00000163914,180380,"Night blindness, congenital stationary, autosomal dominant 1, 610445 | Retinitis pigmentosa 4, autosomal dominant or recessive, 613731 | Retinitis punctata albescens, 136880"
ENSG00000133256,180072,"Night blindness, congenital stationary, autosomal dominant 2, 163500 | Retinitis pigmentosa-40, 613801"
ENSG00000114349,139330,"Night blindness, congenital stationary, type 1G, 616389 | Night blindness, congenital stationary, autosomal dominant 3, 610444"
ENSG00000111664,139130,"Night blindness, congenital stationary, type 1H, 617024 | Hypertension, essential, susceptibility to, 145500"
ENSG00000113522,604040,"Nijmegen breakage syndrome-like disorder, 613078"
ENSG00000159921,603824,"Nonaka myopathy, 605820 | Sialuria, 269921"
ENSG00000099949,600574,"Noonan syndrome 10, 616564 | Schwannomatosis-2, susceptibility to, 615670"
ENSG00000143622,609591,"Noonan syndrome 8, 615355"
ENSG00000100485,601247,"Noonan syndrome 9, 616559"
ENSG00000213639,600590,"Noonan syndrome-like disorder with loose anagen hair 2, 617506"
ENSG00000108061,602775,"Noonan-like syndrome with loose anagen hair, 607721"
ENSG00000128274,607922,"NOR polyagglutination syndrome, 111400 | Blood group, P1Pk system, P(2) phenotype, 111400 | Blood group, P1Pk system, p phenotype, 111400"
ENSG00000165694,300628,"Nystagmus 1, congenital, X-linked, 310700 | Nystagmus, infantile periodic alternating, X-linked, 310700"
ENSG00000101850,300808,"Nystagmus 6, congenital, X-linked, 300814 | Ocular albinism, type I, Nettleship-Falls type, 300500"
ENSG00000175426,162150,"Obesity with impaired prohormone processing, 600955 | Obesity, susceptibility to, BMIQ12, 612362"
ENSG00000115138,176830,"Obesity, adrenal insufficiency, and red hair due to POMC deficiency, 609734 | Obesity, early-onset, susceptibility to, 601665"
ENSG00000162512,186357,"Obesity, association with, 601665"
ENSG00000166603,155541,"Obesity, autosomal dominant, 601665"
ENSG00000148053,600456,"Obesity, hyperphagia, and developmental delay, 613886"
ENSG00000131910,604630,"Obesity, mild, early-onset, 601665"
ENSG00000174697,164160,"Obesity, morbid, due to leptin deficiency, 614962"
ENSG00000116678,601007,"Obesity, morbid, due to leptin receptor deficiency, 614963"
ENSG00000112246,603128,"Obesity, severe, 601665"
ENSG00000175564,602044,"Obesity, severe, and type II diabetes, 601665"
ENSG00000188778,109691,"Obesity, susceptibility to, 601665"
ENSG00000109424,113730,"Obesity, susceptibility to, 601665"
ENSG00000157017,605353,"Obesity, susceptibility to, 601665"
ENSG00000186188,609044,"Obesity, susceptibility to, 607514"
ENSG00000268104,300444,"Obesity, susceptibility to, BMIQ11, 300306"
ENSG00000175567,601693,"Obesity, susceptibility to, BMIQ4, 607447"
ENSG00000155846,608886,"Obesity, variation in, 601665"
ENSG00000183638,608581,"Occult macular dystrophy, 613587"
ENSG00000215612,142992,"Oculoauricular syndrome, 612109"
ENSG00000100836,602279,"Oculopharyngeal muscular dystrophy, 164300"
ENSG00000135925,606268,"Odontoonychodermal dysplasia, 257980 | Schopf-Schulz-Passarge syndrome, 224750 | Tooth agenesis, selective, 4, 150400"
ENSG00000130561,181031,"Oguchi disease-1, 258100 | Retinitis pigmentosa 47, 613758"
ENSG00000185974,180381,"Oguchi disease-2, 613411"
ENSG00000010610,186940,"OKT4 epitope deficiency, 613949"
ENSG00000101266,115440,"Okur-Chung neurodevelopmental syndrome, 617062"
ENSG00000012174,300294,"Olmsted syndrome, X-linked, 300918 | IFAP syndrome with or without BRESHECK syndrome, 308205 | Keratosis follicularis spinulosa decalvans, X-linked, 308800"
ENSG00000152457,605988,"Omenn syndrome, 603554 | Severe combined immunodeficiency, Athabascan type, 602450"
ENSG00000183098,604404,"Omodysplasia 1, 258315"
ENSG00000149506,195000,"Oocyte maturation defect 1, 615774"
ENSG00000261456,616768,"Oocyte maturation defect 2, 616780"
ENSG00000188372,182889,"Oocyte maturation defect 3, 617712"
ENSG00000229474,614661,"Oocyte maturation defect 4, 617743"
ENSG00000101871,300552,"Opitz GBBB syndrome, type I, 300000"
ENSG00000165458,600829,"Opsismodysplasia, 258480"
ENSG00000130347,610502,"Optic atrophy 10 with or without ataxia, mental retardation, and seizures, 616732"
ENSG00000136758,607472,"Optic atrophy 11, 617302"
ENSG00000171202,612988,"Optic atrophy 7, 612989"
ENSG00000100412,100850,"Optic atrophy 9, 616289 | Infantile cerebellar-retinal degeneration, 614559"
ENSG00000184302,606326,"Optic disc anomalies with retinal and/or macular dystrophy, 212550"
ENSG00000036473,300461,"Ornithine transcarbamylase deficiency, 311250"
ENSG00000116030,601912,"Orofacial cleft 10, 613705"
ENSG00000108813,601911,"Orofacial cleft 15, 616788"
ENSG00000118197,615464,"Orofaciodigital syndrome V, 174300"
ENSG00000168014,615944,"Orofaciodigital syndrome XIV, 615948"
ENSG00000198920,617112,"Orofaciodigital syndrome XV, 617127"
ENSG00000114491,613891,"Orotic aciduria, 258900"
ENSG00000103546,163970,"Orthostatic intolerance, 604715"
ENSG00000162998,605083,"Osteoarthritis susceptibility 1, 165720"
ENSG00000169762,612758,"Osteochondrodysplasia, complex lethal, Symoens-Barnes-Gistelinck type, 616897"
ENSG00000166794,123841,"Osteogenesis imperfecta, type IX, 259440"
ENSG00000206013,614757,"Osteogenesis imperfecta, type V, 610967"
ENSG00000132386,172860,"Osteogenesis imperfecta, type VI, 613982"
